2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-10 00:02:26 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:37 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:38 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:56 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:58 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:58 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:02:58 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:06:05 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
2012-01-10 00:06:08 Notice: Notice (8): Undefined variable: alog in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/elogs/index.ctp, line 49]
